Area,Focus Area,Outcome Code 1,Outcome 1 Description,Outcome Code 2,Outcome 2 Description,Content groups,Content points,Stage
Number & Algebra,"Combining and separating quantities B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-CSQ-01, uses number bonds and the relationship between addition and subtraction to solve problems involving partitioning,Use knowledge of equality to solve related problems,use number bonds to solve equality problems,Stage 1
Number & Algebra,"Forming groups A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Count in multiples using rhythmic and skip counting,"count by twos, threes, fives and tens using rhythmic counting and skip counting",Stage 1
Number & Algebra,"Forming groups A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Use skip counting patterns,"identify and describe patterns when skip counting forwards or backwards by twos, fives and tens ",Stage 1
Number & Algebra,"Forming groups A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Use skip counting patterns,determine a missing number in a number pattern with a constant difference,Stage 1
Number & Algebra,"Forming groups A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Use skip counting patterns,describe how the missing number in a number pattern was determined (Reasons about relations),Stage 1
Number & Algebra,"Forming groups A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Model and use equal groups of objects to represent multiplication,model and describe collections of objects as groups of,Stage 1
Number & Algebra,"Forming groups A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Model and use equal groups of objects to represent multiplication,determine and distinguish between the number of groups and the number in each group when describing collections of objects (Reasons about relations),Stage 1
Number & Algebra,"Forming groups A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Model and use equal groups of objects to represent multiplication,find the total number of objects using skip counting of equal groups of a known size,Stage 1
Number & Algebra,"Forming groups A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Recognise and represent division,use concrete materials to model a half of a collection and show the relation between the half and the whole,Stage 1
Number & Algebra,"Forming groups A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Recognise and represent division,model sharing division by distributing a collection of objects equally into a given number of groups to determine how many in each group,Stage 1
Number & Algebra,"Forming groups A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Recognise and represent division,model grouping division by determining the number of groups of a given size that can be formed,Stage 1
Number & Algebra,"Forming groups A
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Recognise and represent division,describe the part left over when a collection cannot be distributed equally using the given group size,Stage 1
Number & Algebra,"Forming groups B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Represent and explain multiplication as the combining of equal groups,"use objects, diagrams, images or actions to model multiplication as accumulating equal groups",Stage 1
Number & Algebra,"Forming groups B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Represent and explain multiplication as the combining of equal groups,solve multiplication problems using repeated addition,Stage 1
Number & Algebra,"Forming groups B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Represent and explain multiplication as the combining of equal groups,form arrays of equal rows and equal columns ,Stage 1
Number & Algebra,"Forming groups B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Represent and explain multiplication as the combining of equal groups,determine and distinguish between the number of rows/columns and the number in each row/column when describing collections of objects ,Stage 1
Number & Algebra,"Forming groups B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Represent and explain multiplication as the combining of equal groups,"model the commutative property of multiplication, using an array (Reasons about relations)",Stage 1
Number & Algebra,"Forming groups B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Represent and explain multiplication as the combining of equal groups,model division by deconstructing an array equally into a given number of rows or columns,Stage 1
Number & Algebra,"Forming groups B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Model doubling and halving with fractions,model doubling and halving groups and the relation between the processes,Stage 1
Number & Algebra,"Forming groups B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Model doubling and halving with fractions,re-create the whole given half,Stage 1
Number & Algebra,"Forming groups B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Model doubling and halving with fractions,"use concrete materials to model a half, a quarter or an eighth of a collection, and explain their thinking",Stage 1
Number & Algebra,"Forming groups B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Represent multiplication and division problems,"solve multiplication and division problems using objects, diagrams, images and actions",Stage 1
Number & Algebra,"Forming groups B
",MAO-WM-01,"  develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA1-FG-01," uses the structure of equal groups to solve multiplication problems, and shares or groups to solve division problems",Represent multiplication and division problems,"record answers to multiplication and division problems (including those with remainders) using drawings, words and numerals",Stage 1
Number & Algebra,"Representing numbers using place value A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Read, represent and order numbers to thousands","Group physical or virtual objects to show the structure of tens, hundreds and a thousand",Stage 2
Number & Algebra,"Representing numbers using place value A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Read, represent and order numbers to thousands","Regroup numbers flexibly, recognising one thousand as 10 hundreds and one hundred as 10 tens or 100 ones",Stage 2
Number & Algebra,"Representing numbers using place value A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Read, represent and order numbers to thousands",Compare and describe the relative size of numbers by positioning numbers on a number line (Reasons about quantity),Stage 2
Number & Algebra,"Representing numbers using place value A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Read, represent and order numbers to thousands",Count forwards and backwards by tens and hundreds on and off the decade,Stage 2
Number & Algebra,"Representing numbers using place value A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Read, represent and order numbers to thousands","Represent numbers up to and including thousands using physical or virtual manipulatives, words, numerals, diagrams and digital displays",Stage 2
Number & Algebra,"Representing numbers using place value A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Read, represent and order numbers to thousands",Read and order numbers of up to at least 4 digits,Stage 2
Number & Algebra,"Representing numbers using place value A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Read, represent and order numbers to thousands",Identify the number before and after a number with an internal zero digit,Stage 2
Number & Algebra,"Representing numbers using place value A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Whole numbers: Apply place value to partition and regroup numbers up to 4 digits,Record numbers using standard place value form,Stage 2
Number & Algebra,"Representing numbers using place value A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Whole numbers: Apply place value to partition and regroup numbers up to 4 digits,Partition numbers of up to 4 digits in non-standard forms (Reasons about quantity),Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Whole numbers: Order numbers in the thousands,Arrange numbers in the thousands in ascending and descending order,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Whole numbers: Order numbers in the thousands,Recognise and describe how rearranging digits changes the size of a number (Reasons about relations),Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Whole numbers: Order numbers in the thousands,"Identify the nearest thousand, 10 thousand or 100 thousand to numbers",Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Apply place value to partition, regroup and rename numbers up to 6 digits","Name thousands using the place value grouping of ones, tens and hundreds of thousands",Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Apply place value to partition, regroup and rename numbers up to 6 digits",Use place value to expand the number notation,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Apply place value to partition, regroup and rename numbers up to 6 digits",Partition numbers of up to 6 digits in non-standard forms,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Recognise and represent numbers that are 10, 100 or 1000 times as large","Recognise the number of tens, hundreds or thousands in a number",Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,"Whole numbers: Recognise and represent numbers that are 10, 100 or 1000 times as large","Describe how making a number 10, 100 or 1000 times as large changes the place value of digits",Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Extend the application of the place value system from whole numbers to tenths and hundredths,Divide a length representing one whole into 10 equal parts and label the divisions using decimal notation,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Extend the application of the place value system from whole numbers to tenths and hundredths,Use the decimal point as a marker to identify the position of the ones digit when expressing tenths as decimals,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Extend the application of the place value system from whole numbers to tenths and hundredths,Recognise that 10-tenths is recorded as 1.0 and regroup when using decimal notation,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Extend the application of the place value system from whole numbers to tenths and hundredths,Represent and compare tenths as decimals using linear representations (Reasons about relations),Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Extend the application of the place value system from whole numbers to tenths and hundredths,Subdivide tenths into 10 equal parts and record hundredths using place value,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Extend the application of the place value system from whole numbers to tenths and hundredths,Express decimals as both tenths and hundredths,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Extend the application of the place value system from whole numbers to tenths and hundredths,"Locate and order decimals representing tenths and hundredths on a number line, describing their relative size",Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Extend the application of the place value system from whole numbers to tenths and hundredths,Interpret zero digits at the end of a decimal,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Extend the application of the place value system from whole numbers to tenths and hundredths,Distinguish between the role of zero in various positions,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Make connections between fractions and decimal notation,Record equivalent measurements using decimals,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Make connections between fractions and decimal notation,Connect fraction strips showing tenths to a number line marked in hundredths,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Make connections between fractions and decimal notation,Compare and order decimals of up to 2 decimal places,Stage 2
Number & Algebra,"Representing numbers using place value B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-RN-01, applies an understanding of place value and the role of zero to represent numbers to at least tens of thousands,Decimals: Make connections between fractions and decimal notation,Make connections between fractions and decimal notation for key benchmark values (Reasons about relations),Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Use the principle of equality,Recognise equal differences and record them in number sentences,Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Use the principle of equality,"Use the equals sign to mean 'the same as', rather than to perform an operation",Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Use the principle of equality,Apply the associative property of addition to forming multiples of 10 (Reasons about relations),Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Recognise and explain the connection between addition and subtraction,Use number relation principles to solve related problems (Reasons about relations),Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Recognise and explain the connection between addition and subtraction,Demonstrate how addition and subtraction are inverse operations,Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Recognise and explain the connection between addition and subtraction,Use the complement principle of addition and subtraction (Reasons about relations),Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Recognise and explain the connection between addition and subtraction,"Explain and check solutions to problems, including by using the inverse operation",Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Select strategies flexibly to solve addition and subtraction problems of up to 3 digits,"Apply known mental strategies that use partitioning to add and subtract, such as bridging the decades",Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Select strategies flexibly to solve addition and subtraction problems of up to 3 digits,Use the compensation strategy to add and subtract (Reasons about relations) ,Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Select strategies flexibly to solve addition and subtraction problems of up to 3 digits,Apply the levelling and constant difference strategies (Reasons about relations),Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Select strategies flexibly to solve addition and subtraction problems of up to 3 digits,"Represent solutions to addition and subtraction problems, including word problems, using an empty number line or bar model",Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Select strategies flexibly to solve addition and subtraction problems of up to 3 digits,"Compare and evaluate strategies used to solve addition and subtraction problems, reasoning which strategy may be most efficient",Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Represent money values in multiple ways,Recognise the relationship between dollars and cents,Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Represent money values in multiple ways,Represent equivalent amounts of money using different denominations,Stage 2
Number & Algebra,"Additive relations A
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,Represent money values in multiple ways,"Perform calculations with money, including finding change",Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Use quantity values and non-standard partitioning to solve addition and subtraction problems,Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Model addition with and without regrouping and record the method used,Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems",Model subtraction with and without regrouping and record the method used,Stage 2
Number & Algebra,"Additive relations B
",MAO-WM-01," develops understanding and fluency in mathematics through exploring and connecting mathematical concepts, choosing and applying mathematical techniques to solve problems, and communicating their thinking and reasoning coherently and clearly",MA2-AR-01, selects and uses mental and written strategies for addition and subtraction involving 2- and 3-digit numbers,"Partition, rearrange and regroup numbers to at least 1000 to solve additive problems","Use an algorithm with understanding to record addition and subtraction calculations, where efficient, involving 3-digit numbers",Stage 2
